Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,54.191231,54.356579,53.795830,53.982746,47.371887,2721200
2014-01-03,54.248741,54.708843,53.918045,54.320633,47.668396,2026800
2014-01-06,54.291878,54.737598,54.126526,54.277496,47.630543,4083600
2014-01-07,55.276779,55.506828,54.946083,55.039539,48.299263,5035000
2014-01-08,55.125809,55.593098,54.787922,55.017971,48.280331,6188000
2014-01-09,53.853344,54.277496,53.738319,53.953991,47.346653,5248300
2014-01-10,54.205608,54.572250,53.745506,53.932423,47.327724,3591800
2014-01-13,53.925232,54.004314,52.710281,52.774982,46.312023,4834800
2014-01-14,52.854061,53.292595,52.588066,52.645580,46.198479,6219500
2014-01-15,52.652767,53.055355,52.465851,52.602444,46.487335,4402200
2014-01-16,52.659958,53.076923,51.941051,51.976994,45.934597,5269500
2014-01-17,52.070454,52.235802,51.667866,51.833214,45.807529,5164000
2014-01-21,52.271748,52.379581,51.035225,51.150253,45.203968,5081400
2014-01-22,51.488136,51.703812,51.121494,51.286842,45.324673,4398300
2014-01-23,50.711720,50.812366,49.834652,50.179726,44.346264,6457900
2014-01-24,49.834652,50.165348,49.475197,49.475197,43.723629,5824800
2014-01-27,49.453632,49.539898,48.209923,48.770668,43.101009,6489500
2014-01-28,48.950394,49.317039,48.777859,49.029476,43.329735,4341700
2014-01-29,48.705967,48.828182,47.354420,47.814522,42.256008,9568200
2014-01-30,48.058949,48.152409,47.570095,47.879223,42.313187,6079700
2014-01-31,47.541336,48.590942,47.325665,48.274624,42.662632,7493700
2014-02-03,48.425594,48.928829,47.332855,47.562904,42.033646,9392300
2014-02-04,51.466572,52.178288,50.718906,51.804459,45.782116,19678700
2014-02-05,51.581596,51.581596,50.208485,50.711720,44.816406,7912000
2014-02-06,50.819553,51.660675,50.718906,51.164631,45.216675,4736900
2014-02-07,51.466572,52.077641,51.365925,51.567219,45.572456,3965000
2014-02-10,51.761322,52.336449,51.524082,52.307693,46.226849,5052500
2014-02-11,52.444286,52.933140,52.264557,52.631199,46.512749,4988600
2014-02-12,52.724659,53.026600,52.645580,52.846874,46.703358,4220400
2014-02-13,52.516174,53.120056,52.379581,53.069733,46.900303,3078000
2014-02-14,52.839684,53.127247,52.552120,52.782169,46.646168,4025600
2014-02-18,52.767792,53.012222,52.458664,52.652767,46.531811,3909400
2014-02-19,52.868439,53.242271,52.314880,52.350826,46.264965,3123300
2014-02-20,52.408340,52.710281,52.084831,52.465851,46.366627,2762800
2014-02-21,52.437096,52.638390,52.027317,52.372395,46.284031,2920800
2014-02-24,52.386772,52.767792,52.293316,52.458664,46.360268,2503200
2014-02-25,52.480228,53.055355,52.135155,52.681522,46.557224,3142200
2014-02-26,52.731846,53.012222,52.508987,52.760605,46.627098,3506200
2014-02-27,52.760605,53.321350,52.753414,53.048168,46.881252,2980000
2014-02-28,53.076923,53.443565,52.767792,53.256649,47.065495,3304300
2014-03-03,52.724659,53.026600,52.264557,52.918762,46.766880,3364800
2014-03-04,53.551403,53.838966,53.457943,53.659237,47.421276,3708600
2014-03-05,53.867722,53.889290,53.436378,53.781452,47.529282,2702800
2014-03-06,54.464413,55.895039,54.457226,55.564342,49.104904,7327200
2014-03-07,55.629044,55.851906,55.003593,55.470882,49.022316,4111500
2014-03-10,55.276779,55.672180,55.017971,55.643421,49.174793,3365800
2014-03-11,55.607475,56.038822,55.355858,55.593098,49.130322,3249900
2014-03-12,55.370235,55.600288,55.233646,55.442127,48.996895,2765500
2014-03-13,55.528397,55.715313,54.349388,54.514736,48.177322,3277800
2014-03-14,54.205608,54.780735,53.939613,53.975555,47.700817,4622800
2014-03-17,54.219986,54.485981,53.867722,54.004314,47.726238,4440400
2014-03-18,54.047447,54.428471,53.867722,53.961178,47.688118,2702500
2014-03-19,54.119339,54.306255,52.961899,53.342918,47.141731,2774200
2014-03-20,53.544212,54.320633,53.321350,54.097771,47.808830,4031600
2014-03-21,54.636951,55.140186,54.083393,54.112148,47.821541,4146100
2014-03-24,54.076202,54.119339,53.328541,53.580158,47.351395,2917000
2014-03-25,53.867722,53.896477,52.890007,53.040977,46.874893,3983400
2014-03-26,53.220703,53.666428,53.120056,53.321350,47.122669,4669400
2014-03-27,53.163193,53.292595,51.926670,52.624012,46.506401,5459500
2014-03-28,52.832493,53.515457,52.774982,53.342918,47.141731,3167100
2014-03-31,53.867722,54.320633,53.565781,54.198418,47.897770,4592500
2014-04-01,54.284687,54.816677,54.284687,54.680088,48.323456,3799500
2014-04-02,56.010063,56.010063,54.874191,55.434940,48.990551,5344700
2014-04-03,55.700935,55.787205,54.730412,54.953270,48.564869,3832200
2014-04-04,55.219265,55.262402,53.997124,54.234364,47.929535,3627800
2014-04-07,54.097771,54.414089,53.652050,54.083393,47.796120,4565800
2014-04-08,53.867722,55.097054,53.709560,54.859814,48.482285,6326800
2014-04-09,54.716030,55.406181,54.644142,55.219265,49.131310,4810000
2014-04-10,55.168941,55.291157,53.731129,54.054638,48.095085,4654000
2014-04-11,53.846153,54.040260,53.393242,53.465134,47.570572,3509300
